页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
15,1986888471,Nm09czw6P,长沙校园,2023-10-02 16:51:02,#湖南新生进入选择困难季# 军训后的湖南新生，等到假期结束该干什么了呢🤔当然是准备加入各种社团、团委、学生会啦～想知道各种各样的部门哪个最适合你吗？可别陷入选择困难症咯[你好]via.@湖南科技大学 #金秋十月的湖南高校##开学攻略# 长沙校园的微博视频 ,21,45,294
15,6261968994,Nm013t9EZ,夏天怎么可以没有雪糕,2023-10-02 16:30:58,湖南科技大学问问，高中学的日语 ,0,0,0
15,7850979292,NlZOun5TO,哦嗨呦同学,2023-10-02 16:00:00,#湖南学子花样献礼国庆# 青春燃烧，汗水滴落，@湖南科技大学 2023级用军训的圆满结束，为祖国献上属于自己的祝福[七时吉祥]#玩转开学季##校园宝藏地#  长沙校园的微博视频 ,0,0,0
15,3912707599,NlZa8q634,余干之窗微博,2023-10-02 14:20:35,文明其精神，野蛮其体魄，非常有意义的一次军训，新生第一堂课@湖南科技大学 -西野呼啸鹰-的微博视频  上饶·余干 ,0,0,2
15,6606618600,NlWwi0JKK,第二碗酥肉,2023-10-02 07:36:55,湖南科技大学有没有mpacc上岸的学姐学长🦆，或者俺也找不到湖科大的研究生考生群，蹲一下，有偿有偿 ,0,3,0
15,5922883723,NlTEzES8G,A冷畅,2023-10-02 00:19:06,我要山 要海 要自由 要繁华 要万家灯火 要国泰民安 没开玩笑 我真要 湖南科技大学 ,0,1,2
15,6415280590,NlSW6qOcb,白叔手机在充电i,2023-10-01 22:29:32,湖南科技大学烟花爆开的一刻，我由衷为祖国的繁荣感到自豪 湘潭 ,0,2,7
16,7859523513,NlR6xmeh1,八月份男友邓为,2023-10-01 17:49:45,我是其中一个 我为学校打call，祝祖国母亲生日快乐 国庆#湖南科技大学##学校##大学生# ,0,0,3
16,6916086891,NlR4VxZRq,小小小小小小小小羊-,2023-10-01 17:45:47,湖南科技大学考研有上岸理学数学的学长学姐吗 ,0,4,0
16,6869829637,NlQVuvLoz,卫希礼94125,2023-10-01 17:22:32,湖南科技大学考研求哲学考研真题 ,0,1,0
