设备ID,风机ID,风场ID,记录时间,轮毂额定转速设定值,轮毂最大转速设定值,变桨启动位置设定值,叶片待机位置设定值,叶片1限位位置设定值,叶片2限位位置设定值,叶片3限位位置设定值,叶片工作位置设定值,风向偏置设定值,通风机启动温度设定值,风机功率限制设定值,功率因数设定值,转动模式速度设定值,主轴承油脂泵启动时间间隔,主轴承油脂泵运行周期,偏航轴承油脂泵运行时间间隔,偏航轴承油脂泵运行周期,变桨轴承油脂泵运行时间间隔,变桨轴承油脂泵运行周期,变桨齿轮油脂泵启动间隔时间,PN表格选择,风机软件版本号,总发出的有功电量,总吸收的有功电量,总发出的无功电量,总吸收的无功电量,叶片1总变桨角度,叶片2总变桨角度,叶片3总变桨角度,总解缆转数,总轮毂转动圈数,总偏航次数,系统时间,采样序号,轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,扭缆圈数,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,变频器冷却液液位要求,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,扭缆圈数,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,变频器控制状态,无功功率控制状态,变频器状态,IO1,IO2,IO3,IO4,IO5,IO6,IO7,IO8,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,PLC_1,PLC_2,PLC_3,PLC_4,PLC_5,PLC_6,PLC_7,PLC_8,PLC_9,PLC_10,PLC_11,PLC_12,PLC_13,PLC_14,PLC_15,PLC_16,PLC_17,PLC_18,PLC_19,PLC_20,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,PLC_30,5秒标志位,10秒标志位,30秒标志位,60秒标志位,5分钟标志位,10分钟标志位,30分钟标志位,60分钟标志位 
102,2,1,2019-09-01 00:00:10,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689355,28737,8,144,0.02,0.02,0.01,55.81,55.78,55.86,8.06,25.3,0.02,0.02,0.7,166.5,4.6,230,1,1,173,679,139,0,143,8.06,251,160,34,33.4,0,2.3,0,2067.6,0,16.83,22.2,46.1,38.2,37,33,37.8,37.6,64.1,52.4,60.5,58.4,31.9,36.2,30.9,30.7,35,35,35,0.664,0,-0.8,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,29,29,29,39,42,41,36,36,36,36,True,True,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:11,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689356,28747,8.01,198,0.01,0.02,0.01,55.88,55.79,55.99,8.12,25.9,-0.07,-0.06,0.7,166.4,4.8,229,1,1,166,680,131,0,135,8.01,253,160,33.9,33.3,0,2.3,0,2067.6,0,16.83,22.2,45.6,38.2,37.1,33,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.2,30.8,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:12,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689357,28757,8,252,0.01,0.02,0.01,56.01,55.81,55.97,8.07,26.9,0.05,0.08,0.7,166.2,5.1,229,1,1,173,679,137,0,137,7.95,259,160,33.8,33.5,0,2.3,0,2067.6,0,16.83,22.2,44.8,38.2,37.1,34.2,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.3,30.8,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:13,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689358,28767,8.02,304,0.01,0.02,0.01,55.94,55.84,55.94,8.09,28.1,-0.04,-0.01,0.7,166.2,4.6,228,1,1,167,679,140,0,131,7.8,253,161,34.1,33.6,0,2.3,0,2067.6,0,16.83,22.2,42.5,38.2,37,36.1,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.3,30.7,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:14,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689359,28777,8.06,358,0.01,0.02,0.01,55.99,55.93,55.98,8.09,28.5,-0.02,-0.07,0.7,166.1,4.9,227,1,1,172,678,129,0,141,8.13,241,161,33.9,33.5,0,2.3,0,2067.6,0,16.83,22.2,39.1,38.2,37,37.8,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.3,30.7,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:15,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689360,28787,8.09,52,0.02,0.02,0.01,55.89,55.89,55.92,8.15,29,0.05,0.11,0.7,166.1,5.2,227,1,1,171,679,139,0,132,7.87,240,162,34.1,33.6,0,2.3,0,2067.6,0,16.83,22.2,38.5,38.2,37,38.3,37.8,37.6,64.1,52.4,60.5,58.4,31.7,36.2,30.7,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,29,29,29,39,42,41,36,36,36,36,True,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:16,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689361,28797,8.12,106,0.02,0.02,0.01,55.96,55.95,56.04,8.17,30.3,-0.06,-0.01,0.7,166.2,4.4,226,1,1,172,672,134,0,139,8.28,246,163,34.1,33.8,0,2.4,0,2067.6,0,16.83,22.2,37.4,38.2,36.9,39,37.8,37.7,64.1,52.4,60.5,58.4,31.8,36.2,30.8,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:17,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689362,28807,8.15,160,0.02,0.02,0.01,55.97,55.95,56.11,8.21,31.1,0.03,-0.08,0.7,166.1,5.8,225,1,1,175,679,143,0,143,8.17,247,164,34,33.5,0,2.3,0,2067.6,0,16.83,22.2,34.8,38.2,36.9,40.7,37.8,37.6,64.1,52.4,60.5,58.4,31.8,36.2,30.8,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:18,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689363,28817,8.11,214,0.02,0.02,0.01,56.02,55.9,56.13,8.25,29.9,0,0.11,0.7,165.9,5.7,225,1,1,177,671,141,0,147,8,268,164,34.1,33.6,0,2.4,0,2067.6,0,16.83,22.2,33,38.2,36.8,40.8,37.8,37.6,64.1,52.4,60.5,58.4,31.7,36.2,30.8,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
102,2,1,2019-09-01 00:00:19,16.83,20.5,86,21,90,90,90,0,0,35,2000,1,-1,100,1,394,6,1000,2,3,7,3303,15301720,0,68840,32820,3540938,3549379,3546240,1985378,526356,1094447,115689364,28827,8.12,268,0.01,0.02,0.01,56.11,55.99,56.14,8.22,29.7,-0.02,-0.01,0.7,165.9,5.5,225,1,1,171,679,140,0,139,7.96,244,165,34.1,33.9,0,2.3,0,2067.6,0,16.83,22.2,33.9,38.2,36.7,39.9,37.8,37.6,64.1,52.4,60.5,58.4,31.7,36.2,30.8,30.7,35,35,35,0.664,0,0,0,6,6,4,0,2,1,61,True,True,False,False,True,False,False,True,8600,2100,9000,9000,9000,0,0,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,29,29,29,39,42,41,36,36,36,36,False,False,False,False,False,False,False,False,
